ax,ay,az,gx,gy,gz,mx,my,mz,target,DateRecord,TimeRecord
0.5,-9.24,2.94,0.037088,0.167988,0.020726,25.25,-1.0625,-30.0,1,2024-11-14,11:04:11.043834
0.44,-9.24,2.96,0.0,0.131991,-0.006545,27.0625,-1.0625,-28.75,1,2024-11-14,11:04:11.703496
0.27,-9.26,2.91,-0.008727,0.09163,0.003272,27.75,-1.0625,-28.75,1,2024-11-14,11:04:11.718486
0.32,-9.24,2.99,0.010908,0.075267,0.002182,27.75,-2.1875,-28.75,1,2024-11-14,11:04:11.814432
0.34,-9.23,3.06,-0.006545,0.06545,-0.011999,27.75,-1.0625,-28.0,1,2024-11-14,11:04:11.861825
0.26,-9.2,2.95,-0.003272,0.004363,-0.002182,29.0,-1.75,-27.25,1,2024-11-14,11:04:12.096371
0.29,-9.23,2.92,0.002182,-0.021817,0.003272,28.5625,-1.75,-28.0,1,2024-11-14,11:04:12.268284
0.39,-9.16,3.08,-0.017453,-0.089448,0.008727,28.5625,-1.75,-28.5,1,2024-11-14,11:04:12.518807
0.33,-9.23,3.02,0.003272,-0.063268,0.014181,28.1875,-0.25,-28.5,1,2024-11-14,11:04:12.876986
0.4,-9.2,3.02,-0.011999,-0.051269,-0.006545,28.1875,-1.75,-28.5,1,2024-11-14,11:04:13.033035
0.37,-9.22,2.93,-0.004363,-0.06545,0.002182,27.5,-2.0625,-28.5625,1,2024-11-14,11:04:13.235109
0.43,-9.21,2.98,-0.007636,-0.064359,0.004363,27.5,-1.0625,-28.875,1,2024-11-14,11:04:13.282165
0.48,-9.21,2.88,-0.01309,-0.022907,-0.003272,26.75,-1.0625,-28.0625,1,2024-11-14,11:04:13.456090
0.53,-9.26,2.93,0.005454,-0.01309,-0.008727,26.75,-2.1875,-30.0625,1,2024-11-14,11:04:13.627464
0.49,-9.2,2.97,0.017453,0.009817,0.004363,26.375,-1.75,-30.0625,1,2024-11-14,11:04:14.266011
0.48,-9.23,2.91,-0.006545,0.071995,0.008727,26.375,-1.5,-28.875,1,2024-11-14,11:04:16.472263
0.4,-9.22,2.96,0.002182,0.071995,0.001091,26.375,-1.5,-28.875,1,2024-11-14,11:04:16.502230
