ax,ay,az,gx,gy,gz,mx,my,mz,target,DateRecord,TimeRecord
-0.51,2.3,9.39,0.001091,0.020726,-0.005454,21.5,-26.1875,2.0625,0,2024-11-14,11:02:58.799285
-0.52,2.27,9.39,-0.005454,-0.046906,0.014181,21.875,-26.1875,3.25,0,2024-11-14,11:02:58.952227
-0.5,2.3,9.43,-0.004363,-0.028362,0.004363,21.875,-26.1875,2.0625,0,2024-11-14,11:02:59.312016
-0.53,2.29,9.39,-0.001091,0.007636,0.0,22.25,-26.1875,2.0625,0,2024-11-14,11:02:59.483299
-0.46,2.28,9.46,0.0,-0.011999,0.005454,21.5,-26.1875,2.0625,0,2024-11-14,11:02:59.667173
-0.51,2.29,9.39,0.0,0.004363,0.001091,21.5,-26.5625,2.5,0,2024-11-14,11:02:59.692361
-0.51,2.29,9.42,0.0,-0.003272,-0.001091,21.1875,-26.875,2.5,0,2024-11-14,11:02:59.910645
-0.53,2.28,9.33,0.0,0.025089,-0.003272,21.5,-25.75,2.0625,0,2024-11-14,11:03:00.094297
-0.46,2.26,9.49,-0.007636,-0.077449,0.017453,21.5,-26.1875,2.0625,0,2024-11-14,11:03:00.295183
-0.48,2.29,9.45,-0.006545,-0.017453,0.006545,21.5,-26.875,2.5,0,2024-11-14,11:03:00.514131
-0.56,2.28,9.38,-0.001091,0.008727,0.0,21.875,-26.1875,2.0625,0,2024-11-14,11:03:00.798401
-0.47,2.27,9.46,0.0,-0.009817,0.001091,22.5625,-26.875,2.875,0,2024-11-14,11:03:01.153438
-0.5,2.29,9.41,0.0,-0.001091,0.001091,22.5625,-26.1875,2.0625,0,2024-11-14,11:03:01.437716
-0.53,2.29,9.41,0.0,-0.001091,-0.001091,22.25,-27.25,1.75,0,2024-11-14,11:03:01.668564
-0.53,2.27,9.36,0.002182,0.002182,0.0,22.25,-26.875,2.5,0,2024-11-14,11:03:01.683557
-0.39,2.3,9.55,-0.010908,-0.075267,0.019635,21.875,-26.1875,3.0,0,2024-11-14,11:03:01.807505
-0.45,2.26,9.41,0.0,-0.006545,0.003272,22.5625,-26.1875,2.5,0,2024-11-14,11:03:02.145391
-0.52,2.27,9.39,0.0,0.004363,-0.004363,21.1875,-26.875,2.0625,0,2024-11-14,11:03:02.377266
-0.44,2.27,9.44,0.0,-0.003272,-0.001091,21.5,-26.875,2.875,0,2024-11-14,11:03:02.424679
