ax,ay,az,gx,gy,gz,mx,my,mz,target,DateRecord,TimeRecord
0.96,-3.02,-9.17,-0.005454,-0.001091,0.001091,29.5,15.25,1.1875,2,2024-11-14,11:05:28.051882
0.97,-3.0,-9.18,0.0,0.006545,0.001091,28.6875,14.5,1.1875,2,2024-11-14,11:05:28.191992
0.97,-3.0,-9.19,0.001091,0.0,0.001091,28.6875,14.5,1.1875,2,2024-11-14,11:05:28.457381
0.97,-3.0,-9.19,-0.006545,0.0,0.0,29.0625,14.875,2.0,2,2024-11-14,11:05:28.695913
0.98,-2.99,-9.18,-0.002182,-0.001091,0.0,28.6875,14.5,2.375,2,2024-11-14,11:05:28.917105
0.98,-3.0,-9.17,0.010908,0.002182,-0.003272,28.0,14.875,2.375,2,2024-11-14,11:05:29.071525
0.98,-3.02,-9.19,0.004363,-0.001091,0.001091,29.0625,14.875,0.75,2,2024-11-14,11:05:29.304402
0.99,-3.02,-9.2,0.001091,-0.002182,0.0,29.0625,15.25,2.375,2,2024-11-14,11:05:29.505384
0.99,-3.04,-9.18,0.004363,-0.006545,-0.001091,28.6875,14.875,0.75,2,2024-11-14,11:05:29.817431
1.0,-3.05,-9.14,0.001091,0.004363,-0.003272,28.375,14.875,2.0,2,2024-11-14,11:05:29.989552
0.98,-3.05,-9.17,0.0,0.002182,-0.001091,28.6875,15.25,1.5625,2,2024-11-14,11:05:30.240442
0.98,-3.08,-9.16,0.004363,0.001091,-0.001091,28.6875,14.5,2.0,2,2024-11-14,11:05:30.300962
0.98,-3.11,-9.17,-0.003272,0.001091,-0.001091,28.6875,14.875,1.5625,2,2024-11-14,11:05:30.458844
0.98,-3.11,-9.18,-0.003272,0.002182,0.001091,28.6875,14.1875,2.375,2,2024-11-14,11:05:30.663004
0.98,-3.1,-9.17,-0.003272,-0.002182,0.0,29.0625,14.1875,1.5625,2,2024-11-14,11:05:30.804811
1.0,-3.12,-9.15,0.007636,0.0,-0.001091,29.5,14.875,1.5625,2,2024-11-14,11:05:31.047965
0.96,-3.14,-9.17,-0.004363,0.002182,0.0,29.875,14.875,1.5625,2,2024-11-14,11:05:31.248069
0.97,-3.12,-9.17,-0.007636,0.0,0.0,29.0625,14.1875,1.5625,2,2024-11-14,11:05:31.435982
0.99,-3.16,-9.19,0.001091,-0.001091,0.0,29.0625,14.875,0.75,2,2024-11-14,11:05:31.652087
0.96,-3.15,-9.17,-0.002182,0.0,0.001091,29.0625,14.875,2.0,2,2024-11-14,11:05:31.857961
0.98,-3.17,-9.18,-0.002182,-0.001091,0.002182,29.0625,14.875,1.5625,2,2024-11-14,11:05:32.050488
0.96,-3.11,-9.16,-0.005454,0.001091,0.0,28.6875,14.1875,1.1875,2,2024-11-14,11:05:32.283191
0.98,-3.11,-9.18,0.0,0.001091,0.001091,29.5,14.875,2.0,2,2024-11-14,11:05:32.501068
0.97,-3.08,-9.14,-0.002182,0.002182,-0.001091,29.0625,14.5,1.5625,2,2024-11-14,11:05:32.940638
